Well No,Type,Well Type,Agency,State,District,Tahsil / Taluk,Block / Mandal,Village,Hamlet,Survey No,Owner,Additonal Information,Basin Code,Sub Basin,Minor Basin,Geology,Geomorphology,Toposheet No,Latitude,Longitude,Grid E,Grid N,Site ID,Well use,Surface Water Influence,Local Morphology,Command Area,Name of Command,Well Location,Well Depth ,Height of Measuring Point,Elevation of Ground Level,DWLR installed,DWLR No,DWLR type,stratigraphy,Station Name,MonitorFrom,MonitorTo,Land Use,Monitoring Type,WQ Issue
53258,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Uthukuli,Uthukuli,Chengappalli,,,Panchayat,,002,Noyyal,Noyyal,CNK,PE,58E8,11.1997,77.4225,,,F,Monitoring,,PE,FALSE,,Located at Bye-pass road,33.20000076,0.829999983,304,FALSE,,,Archaean,Shengapalli,,,Rural,,
53260,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Uthukuli,Uthukuli,Rettipalayam,,,Panchayat,,002,Noyyal,Noyyal,CNK,PE,58E8,11.1756,77.4597,,,F,Domestic,,PE,FALSE,,On main road near Over head tank,28.25,0.800000012,281,FALSE,,,Archaean,Raddipalayam,,,Rural,,
53261,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Uthukuli,Uthukuli,Sar. Periyapalayam,,,Panchayat,,002,Noyyal,Noyya;,CNK,PE,58E8,11.13061,77.4039,,,F,Monitoring,,PE,FALSE,,200' North Eastern side of the temple adjoining the tar road,16.29999924,0.829999983,288,FALSE,,,Archaean,Sakarperiyapala,,,Rural,,
53262,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Uthukuli,Uthukuli,Puthur Pallapalayam,,,Panchayat,,002,Noyyal,Noyyal,CNK,PE,58E8,11.1206,77.4625,,,F,Monitoring,,PE,FALSE,,On the road to suppanur from main road and  west of the village,25.60000038,0.75,269,FALSE,,,Archaean,Pallapalayam,,,Rural,,
53271,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Uthukuli,Uthukuli,Virumandampalayam,,,Panchayat,,002,Noyyal,Noyyal,CNK,PE,58E8,11.2294,77.4175,,,F,Monitoring,,PE,FALSE,,Adjacent to sengapalli kunnathur mainroad,24.89999962,0.75,304,FALSE,,,Archaean,Thalapthi,,,Rural,,
53272,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Uthukuli,Uthukuli,A.Pallagoudenpalayam,,,Panchayat,,002,Noyyal,Noyyal,CNK,PE,58E8,11.2306,77.465,,,F,Monitoring,,PE,FALSE,,Opposite to Mariamman kovil,36.54000092,0.660000026,292,FALSE,,,Archaean,Pallagoundampal,,,Rural,,
61245,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Avinashi,Avanashi,Avinashi,,,,,,,,GGN,PE,,11.24167,77.24167,,,NF,,,PE,FALSE,,,62,0.600000024,345,FALSE,,,Archaen,Avinashi,,,,,
63231,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Uthukuli,Uthukuli,Kunnathur,,,Panchayat Well,,002,Noyyal,Noyyal,CNK,PE,58E7,11.2724,77.4049,,,F,Monitoring,,PE,FALSE,,Inside kunnathur near police quarters,17.95000076,0.699999988,325,FALSE,,,Archaean,Kunnathur,,,Rural,,
63232,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Uthukuli,Uthukuli,Vellaravalli,,,Panchayat,,002,Noyyal,Noyyal,CNK,PE,58E7,11.27222,77.4225,,,F,Monitoring,,PE,FALSE,,Adjacent to main road (Perundurai to Kunnathur) Near vinayakar kovil,25.29999924,0.800000012,312,FALSE,,,Archaean,Papavalasu,,,Rural,,
63323,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Avinashi,Avanashi,Pongalur,,,Temple Well,,002,Noyyal 3,Noyyal,GGN,PE,58E03,11.29458,77.16484,,,F,Domestic,Nil,PE,FALSE,Nil,Inside the Sri Venkteswara perumal temple,29.10000038,0.75999999,365,FALSE,,,Archaean,Mondipalayam,,,Rural,,
