Well No,Well Type,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS (mg/L),NO2+NO3 (mg/L),Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Cl (mg/L),SO4 (mg/L),CO3 (mg/L),HCO3 (mg/L),F (mg/L),pH_GEN,EC_GEN (µS/cm),HAR_Total (mg/L),SAR,RSC (meq/L),Na%
HP2CTR02,Bore Well,Tiruppur,Avinashi,Sevur,"11°14'50""","77°14'30""",02-01-2017,300,12,11.2,24.786,60,5,60,37,2.483538,132.4167,0.36,8.3,500,130,2.289645,0,48.90796
HP2CTR04,Bore Well,Tiruppur,Avinashi,Thathanur,"11°18'20""","77°16'40""",02-01-2017,180,1,9.6,20.898,25,4,18,13,2.483538,132.4167,0.26,8.3,330,110,1.03713,0.05452959,32.09222
63542,Dug Well,Tiruppur,Kangeyam,Vellakoil,"10°56'40""","77°42'55""",04-01-2017,853,97,8,89.91,161,13,234,74,18,305,0.93138,8.8,1500,390,3.546679,0,46.27607
HP2ETR27,Bore Well,Tiruppur,Dharapuram,Thoorampadi,"10°51'05""","77°40'30""",04-01-2017,1280,116,14.4,76.302,345,4,234,134,18,658.8,1.47,8.8,2240,350,8.022918,4.401241,67.88406
HP2ETR29,Bore Well,Tiruppur,Dharapuram,Velampoondi,"10°48'40""","77°53'00""",04-01-2017,1280,113,16,109.35,290,11,284,172,0,549,0.74,8,2280,490,5.699535,0,55.5885
63523,Dug Well,Tiruppur,Dharapuram,Kilankudal,"10°45'22""","77°43'36""",04-01-2017,1283,228,12.8,77.274,322,14,305,127,12,353.8,0.91,8.7,2100,350,7.487984,0,65.56674
63536,Dug Well,Tiruppur,Dharapuram,Erasinampalayam,"10°50'36""","77°44'33""",04-01-2017,1170,219,22.4,132.192,184,14,277,100,6,402.6,1.55,8.5,2000,600,3.268029,0,39.31546
63501,Dug Well,Tiruppur,Dharapuram,Munduvelampatty,"10°42'30""","77°19'40""",05-01-2017,1206,341,17.6,96.228,230,24,326,63,0,195.2,1.18,8,1900,440,4.770322,0,51.52948
63505,Dug Well,Tiruppur,Dharapuram,Dalavaypattinam,"10°40'25""","77°29'00""",05-01-2017,380,46,11.2,38.151,69,6,53,59,5.403651,144.3973,0.61,8.6,640,185,2.207132,0,43.79535
63517,Dug Well,Tiruppur,Dharapuram,Kulathupalayam,"10°45'35""","77°35'00""",05-01-2017,669,43,8,34.02,184,13,156,70,12,286.7,0.23,8.6,1120,160,6.328681,1.900718,69.38665
63533,Dug Well,Tiruppur,Dharapuram,Sinukinari,"10°50'20""","77°33'05""",05-01-2017,947,234,12.8,99.144,147,21,213,72,12,256.2,1.13,8.7,1580,440,3.048788,0,40.65358
HP2ETR22,Bore Well,Tiruppur,Dharapuram,Periakumarapalayam,"10°46'25""","77°18'55""",05-01-2017,2182,273,67.2,182.736,437,4,851,144,0,366,1.21,7.7,3750,920,6.268507,0,50.68743
HP2ETR25,Bore Well,Tiruppur,Dharapuram,Thoppampatti,"10°51'25""","77°27'10""",05-01-2017,1008,175,30.4,90.882,170,7,312,144,0,122,0.66,8.2,1620,450,3.486697,0,44.62849
63510,Dug Well,Tiruppur,Dharapuram,Periyakumarapalayam,"10°46'25""","77°18'52""",05-01-2017,1829,155,92.8,165.969,299,4,780,168,0,219.6,0.59,8.2,3140,915,4.300939,0,41.42431
63532,Dug Well,Tiruppur,Dharapuram,Uthiyur,"10°53'40""","77°31'40""",06-01-2017,935,159,22.4,98.172,138,29,269,84,12,219.6,0.71,8.6,1540,460,2.799332,0,37.65645
HP2ETR21,Bore Well,Tiruppur,Dharapuram,Uthiyur,"10°53'10""","77°31'20""",06-01-2017,853,37,29.6,103.518,115,27,206,67,0,500.2,0.59,7.7,1500,500,2.23757,0,31.88518
63540,Dug Well,Tiruppur,Dharapuram,Kadaiyur,"10°59'13""","77°31'04""",06-01-2017,2752,316,140.8,181.764,552,22,1205,68,0,366,0.06,8.2,4600,1100,7.242187,0,51.57269
HP2CTR19,Bore Well,Tiruppur,Tiruppur,Veerapandi,"11°04'45""","77°21'00""",07-01-2017,280,15,12,20.655,55,6,50,35,3.748187,126.0937,0.36,8.5,450,115,2.231614,0,49.38478
HP2CTR20,Bore Well,Tiruppur,Tiruppur,Neruperichal,"11°09'00""","77°23'15""",07-01-2017,595,143,15.2,75.816,60,16,121,57,0,195.2,0.58,8.2,990,350,1.395297,0,26.05592
