Well_ID,Station_Name,Division,District,Division Order,Circle,Taluk,Firka,Village,Well_Depth_m,Ht_Of_Ms_Pt_m,Water_level_BGL,Station_Type,Date,Month,Latitude,Longitude
53258,Shengapalli,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Uthukuli,Uthukuli,Shengapalli,33.2,0.83,4.32,OB,09-01-2023,Jan-2023,11.20011,77.42219
53260,Raddipalayam,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Uthukuli,Uthukuli,Raddipalayam,28.25,0.8,1.1,OB,09-01-2023,Jan-2023,11.17544,77.45985
53261,Sakarperiyapalayam,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Uthukuli,Uthukuli,Sakarperiyapalayam,16.3,0.83,3.42,OB,09-01-2023,Jan-2023,11.13072,77.40388
53262,Pallapalayam,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Uthukuli,Uthukuli,Pallapalayam,25.6,0.75,4.35,OB,09-01-2023,Jan-2023,11.12102,77.46165
53271,Thalapthi,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Uthukuli,Kunnathur,Thalapthi,24.9,0.75,3.15,OB,09-01-2023,Jan-2023,11.22954,77.41737
53272,Pallagoundampalayam,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Uthukuli,Kunnathur,Pallagoundampalayam,36.54,0.66,4.34,OB,09-01-2023,Jan-2023,11.23075,77.46499
63231,Kunnathur,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Uthukuli,Kunnathur,Kunnathur,17.95,0.7,4.5,OB,09-01-2023,Jan-2023,11.27262,77.40528
63232,Papavalasu,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Uthukuli,Kunnathur,Papavalasu,16.7,0.8,14,OB,09-01-2023,Jan-2023,11.27238,77.42255
63323,Mondipalayam,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Cheyur,Mondipalayam,29.1,0.76,11.14,OB,03-01-2023,Jan-2023,11.29473,77.16516
63324,Tundarkarampalayam,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Cheyur,Tundarkarampalayam,28.4,0.84,24.76,OB,03-01-2023,Jan-2023,11.28092,77.20549
63325,Savakattupalayam,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Nambiyur,Savakattupalayam,16.8,0.85,0.25,OB,03-01-2023,Jan-2023,11.31553,77.28681
63328,Kottai Kattupalayam,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Elathur(E),Kottai Kattupalayam,32.7,0.97,6.43,OB,03-01-2023,Jan-2023,11.3366,77.22844
63329,Thekkalur,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Avinashi(W),Thekkalur,24,0.73,20.57,OB,02-01-2023,Jan-2023,11.15538,77.21483
63330,Nariampalli,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Avinashi(W),Nariampalli,40.3,0.81,6.59,OB,03-01-2023,Jan-2023,11.21817,77.15605
63331,Karuvalur,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Avinashi(W),Karuvalur,42,0.8,-0.8,OB,3-1-2023,Jan-2023,11.21253,77.1846
63332,Ramaiyampalayam,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Cheyur,Ramaiyampalayam,22.3,1.16,13.64,OB,03-01-2023,Jan-2023,11.26428,77.22201
63333,Sevur,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Cheyur,Sevur,25.75,0.85,14.45,OB,03-01-2023,Jan-2023,11.24583,77.23742
63334,Avinashi-TB,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Avinashi(E),Avinashi-TB,40.1,0.82,4.78,OB,02-01-2023,Jan-2023,11.18826,77.27323
63335,Thulukkamuthur,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Avinashi(E),Thulukkamuthur,31.15,0.8,14.9,OB,03-01-2023,Jan-2023,11.2327,77.31584
63336,Naduvacheri,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Avinashi(E),Naduvacheri,33,0.7,17.8,OB,3-1-2023,Jan-2023,11.232,77.28474
63337,Kaniyampoondi,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Avinashi(E),Kaniyampoondi,25.4,0.7,10.1,OB,02-01-2023,Jan-2023,11.12686,77.28036
63338,Kanur,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Cheyur,Kanur,16.7,0.7,10.2,OB,3-1-2023,Jan-2023,11.24992,77.17925
63339,Palankarai,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Avinashi(E),Palankarai,33,0.5,2.6,OB,02-01-2023,Jan-2023,11.1989,77.3029
63340,Punjaithamaraikulam,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Cheyur,Punjaithamaraikulam,31.2,0.8,5.1,OB,3-1-2023,Jan-2023,11.27383,77.28087
63341,Ramanathapuram,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Avinashi,Avinashi(W),Ramanathapuram,11.6,0.9,10.5,OB,03-01-2023,Jan-2023,11.21206,77.18845
63342,Mangalam,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Tiruppur,Tiruppur (S),Mangalam,21.5,0.75,-0.75,OB,02-01-2023,Jan-2023,11.08962,77.26868
63343,Ammapalayam,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Tiruppur,Velampalayam,Ammapalayam,21.4,0.8,2.2,OB,3-1-2023,Jan-2023,11.15607,77.30991
63344,Muthaiankinaru,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Tiruppur,Perumanallur,Muthaiankinaru,17.25,0.87,1.53,OB,3-1-2023,Jan-2023,11.19926,77.37054
63345,M.Pudupalayam,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Tiruppur,Nallur,M.Pudupalayam,14.8,0.7,4.4,OB,02-01-2023,Jan-2023,11.04199,77.39183
63346,Nachipalayam,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Tiruppur,Avinashipalayam(S),Nachipalayam,28.1,1,3.3,OB,02-01-2023,Jan-2023,11.08695,77.44026
63347,Nallur,Salem GWD,Tiruppur,04. SalemGWD,02.Thanjavur GWC,Tiruppur,Nallur,Nallur,21,0.7,5.6,OB,02-01-2023,Jan-2023,11.1006,77.39318
