Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,ALK-TOT,Alk-Phen,HAR_Total,SAR,HAR_Ca,RSC,Na%
63324,Tirupur,Avinashi,Tundarkarampalayam,"11°16'30""","77°12'20""",01-01-1987,227.0,14.0,24.0,20.0,21.0,6.0,14.0,5.0,24.0,104.0,,8.2,370.0,,,140.0,0.7660803,,0.0,23.35956
63405,Tirupur,Tirupur,Vavipalayam,"10°52'20""","77°17'05""",01-01-1987,726.0,56.0,36.0,78.0,87.0,6.0,99.0,38.0,36.0,195.0,,8.4,1200.0,,,410.0,1.867217,,0.0,31.13931
63416,Tirupur,Tirupur,Thutheripalayam,"10°56'10""","77°20'20""",01-01-1987,94.0,3.0,16.0,6.0,9.0,2.0,21.0,0.0,0.0,55.0,,8.1,170.0,,,65.0,0.4870304,,0.0,22.56566
63417,Tirupur,Tirupur,Pongalur,"10°58'30""","77°21'50""",01-01-1987,95.0,,14.0,4.0,18.0,2.0,14.0,0.0,0.0,85.0,,7.9,180.0,,,50.0,1.092177,,0.365437,42.05073
63502,Tirupur,Dharapuram,Dasarapatty,"10°40'50""","77°21'35""",01-01-1987,813.0,22.0,92.0,78.0,53.0,0.0,283.0,170.0,0.0,79.0,,8.4,1380.0,,,550.0,0.9825796,,0.0,17.31398
63505,Tirupur,Dharapuram,Dalavaypattinam,"10°40'25""","77°29'00""",01-01-1987,1127.0,14.0,48.0,100.0,209.0,0.0,446.0,170.0,36.0,116.0,,8.4,2140.0,,,530.0,3.944371,,0.0,46.11158
63506,Tirupur,Dharapuram,Dharapuram,"10°45'55""","77°31'30""",01-01-1987,952.0,87.0,18.0,21.0,116.0,23.0,337.0,28.0,13.0,24.0,,8.6,850.0,,,130.0,4.403144,,0.0,61.08386
63508,Tirupur,Dharapuram,Koneripatti,"10°42'15""","77°36'00""",01-01-1987,493.0,,14.0,20.0,147.0,0.0,74.0,65.0,48.0,250.0,,8.7,890.0,,,115.0,5.905804,,3.353399,73.17152
63509,Tirupur,Dharapuram,Ponnivadi,"10°41'55""","77°38'45""",01-01-1987,182.0,,26.0,18.0,18.0,0.0,25.0,10.0,24.0,122.0,,8.6,360.0,,,140.0,0.6642485,,0.021,21.98285
63511,Tirupur,Dharapuram,Marudur,"10°45'50""","77°22'35""",01-01-1987,934.0,58.0,53.0,135.0,51.0,0.0,273.0,101.0,36.0,55.0,,8.3,1690.0,,,690.0,0.8459382,,0.0,13.889
63512,Tirupur,Dharapuram,Sadayapalayam,"10°48'15""","77°22'40""",01-01-1987,200.0,1.0,24.0,21.0,23.0,0.0,28.0,10.0,30.0,122.0,,8.7,390.0,,,145.0,0.8271571,,0.074,25.48117
63513,Tirupur,Dharapuram,Rangampalayam,"10°46'25""","77°27'20""",01-01-1987,294.0,,22.0,24.0,14.0,0.0,121.0,28.0,24.0,122.0,,8.6,370.0,,,155.0,0.4912918,,0.0,16.53997
63516,Tirupur,Dharapuram,Pallapalayam,"10°47'50""","77°32'40""",01-01-1987,1074.0,21.0,160.0,282.0,207.0,0.0,156.0,139.0,0.0,73.0,,8.2,4270.0,,,1560.0,2.280042,,0.0,22.40138
63517,Tirupur,Dharapuram,Kulathupalayam,"10°45'35""","77°35'00""",01-01-1987,569.0,26.0,26.0,29.0,99.0,0.0,149.0,67.0,42.0,85.0,,8.5,1020.0,,,185.0,3.172945,,0.0,53.8947
63518,Tirupur,Dharapuram,S.K.Palayam,"10°49'40""","77°35'10""",01-01-1987,372.0,,20.0,39.0,67.0,0.0,50.0,53.0,42.0,201.0,,8.5,720.0,,,210.0,2.009333,,0.48733,40.92217
