Well No,District,Tahsil / Taluk,Village,Latitude_decimal,Longitude_decimal,Latitude,Longitude,Date_standardized,Year,Month,Season,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,ALK-TOT,HAR_Total,SAR,HAR_Ca,RSC,Na%,TDS_Class,pH_Class,Total_Cations,Total_Anions,Ionic_Balance_Error
63360,Tiruppur,Tiruppur,Abisekapuram,11.266944,77.364722,"11°16'01""","77°21'53""",2016-01-02,2016,1,Winter,791.0,48.0,32.0,55.89,148.0,3.0,160.0,89.0,0.0,183.0,0.31,8.1,1270.0,150.0,310.0,3.657507,80.0,0.0,50.64864,Brackish,Neutral,238.89,432.0,28.784152394580335
63360,Tiruppur,Tiruppur,Abisekapuram,11.266944,77.364722,"11°16'01""","77°21'53""",2016-07-05,2016,7,Monsoon,1026.0,28.0,48.0,66.825,198.0,59.0,230.0,5.0,0.0,591.7,0.05,7.8,1800.0,485.0,395.0,4.334986,120.0,1.804411,47.80521,Brackish,Neutral,371.825,826.7,37.952900440124324
63424,Tiruppur,Palladam,Anuppatti,10.968056,77.229444,"10°58'05""","77°13'46""",2016-01-02,2016,1,Winter,371.0,13.0,36.0,36.45,21.0,23.0,43.0,51.0,3.03584,161.864,0.26,8.3,630.0,165.0,240.0,0.5898762,90.0,0.0,14.50453,Fresh,Neutral,116.45,258.89984,37.951219054735716
63424,Tiruppur,Palladam,Anuppatti,10.968056,77.229444,"10°58'05""","77°13'46""",2016-07-04,2016,7,Monsoon,379.0,15.0,28.0,48.6,6.0,29.0,89.0,53.0,1.46677,98.454,0.05,8.2,640.0,100.0,270.0,0.1588818,70.0,0.0,4.078388,Fresh,Neutral,111.6,241.92077,36.86368130506166
63334,Tiruppur,Avinashi,Avinashi-TB,11.188056,77.271667,"11°11'17""","77°16'18""",2016-01-02,2016,1,Winter,646.0,8.0,22.0,46.17,129.0,19.0,227.0,59.0,12.0,189.1,0.33,8.3,1100.0,175.0,245.0,3.585904,55.0,0.0,51.03735,Brackish,Neutral,216.17000000000002,487.1,38.524322095354556
63334,Tiruppur,Avinashi,Avinashi-TB,11.188056,77.271667,"11°11'17""","77°16'18""",2016-07-05,2016,7,Monsoon,1176.0,35.0,28.0,89.91,223.0,31.0,305.0,180.0,0.0,323.3,0.7,7.7,1930.0,265.0,440.0,4.62537,70.0,0.0,50.2884,Brackish,Neutral,371.90999999999997,808.3,36.9756229823506
63430,Tiruppur,Palladam,Chinnakarai,11.057222,77.309444,"11°03'26""","77°18'34""",2016-01-02,2016,1,Winter,4337.0,10.0,240.0,247.86,921.0,18.0,2269.0,528.0,0.0,140.3,0.68,7.8,7290.0,115.0,1620.0,9.957438,600.0,0.0,54.95771,Saline,Neutral,1426.8600000000001,2937.3,34.6100967883854
63430,Tiruppur,Palladam,Chinnakarai,11.057222,77.309444,"11°03'26""","77°18'34""",2016-07-04,2016,7,Monsoon,4116.0,39.0,148.0,216.27,1018.0,21.0,1858.0,576.0,0.0,213.5,0.61,7.5,7000.0,175.0,1260.0,12.479,370.0,0.0,63.25794,Saline,Neutral,1403.27,2647.5,30.715888584145727
63505,Tiruppur,Dharapuram,Dalavaypattinam,10.673611,77.483333,"10°40'25""","77°29'00""",2016-01-05,2016,1,Winter,392.0,6.0,22.0,46.17,36.0,13.0,99.0,59.0,2.20073,147.7,0.76,8.2,680.0,150.0,245.0,1.000717,55.0,0.0,23.04323,Fresh,Neutral,117.17,307.90073,44.870351341293244
63505,Tiruppur,Dharapuram,Dalavaypattinam,10.673611,77.483333,"10°40'25""","77°29'00""",2016-07-05,2016,7,Monsoon,430.0,3.0,42.0,49.815,29.0,16.0,89.0,58.0,2.57228,217.365,0.54,8.1,790.0,220.0,310.0,0.7167225,105.0,0.0,16.03682,Fresh,Neutral,136.815,366.93728,45.6816354260471
63831,Tiruppur,Udumalpet,Deepalapatti,10.543056,77.055278,"10°32'35""","77°03'19""",2016-01-21,2016,1,Winter,329.0,5.0,26.0,19.44,49.0,26.0,82.0,26.0,1.16359,123.786,0.09,8.0,570.0,125.0,145.0,1.770868,65.0,0.0,37.43482,Fresh,Neutral,120.44,232.94959,31.83726775879278
