Sl.No,WellNo,Village,Latitude,Longtitude,Month,Year,pH,EC,HCO3,CO3,Cl,SO4,NO3,Ca,Mg,Na,K,F,Fe,As
1,W111105077163001,Avinasi,11.1847,77.275,May,2000,8.4,1580,336,30,230,73,32,102,52,152,26,0.91,0,0
2,W111105077163001,Avinasi,11.1847,77.275,May,2001,8.61,1940,769,4,248,5,50,126,78,160,20,1.1,0,0
3,W111105077163001,Avinasi,11.1847,77.275,May,2002,7.93,2060,787,0,298,40,65,132,84,195,35,1.2,0,0
4,W111105077163001,Avinasi,11.1847,77.275,May,2003,7.7,2520,652,0,326,6,82,150,103.33,212,36,0.83,0,0
5,W111105077163001,Avinasi,11.1847,77.275,May,2004,8.21,2330,555,0,362,55,177,64,111.92,210,45,0.86,0,0
6,W111105077163001,Avinasi,11.1847,77.275,May,2005,7.7,2250,662,0,383,140,193,184,107.2,290,40,1.19,0,0
7,W111105077163001,Avinasi,11.1847,77.275,May,2006,7.43,2890,610,0,383,153,317,120,131.44,235,50,1.31,0,0
8,W111105077163001,Avinasi,11.1847,77.275,May,2007,8.21,3040,683,0,457,120,303,64,200.66,240,50,1.35,0,0.001
9,W111105077163001,Avinasi,11.1847,77.275,May,2008,7.62,3148,694,8,472,149,351,105,182.81,280,56,1.31,0,0.001
10,W111105077163001,Avinasi,11.1847,77.275,May,2009,7.9,2800,836,10,369,100,198,124,118.07,288,55,1.4,0,0
11,W111105077163001,Avinasi,11.1847,77.275,May,2010,7.9,1652,317,13,255,139,76,120,22.03,189,23,1.25,0,0
12,W111105077163001,Avinasi,11.1847,77.275,May,2011,7.91,1630,556,0,320,163,55,111,136.73,279,51.69,0.98,0,0
13,W111105077163001,Avinasi,11.1847,77.275,May,2012,8,1630,541,2,320,175,55,110,0,288,53.7,1,0.1,0.002
14,W111105077163001,Avinasi,11.1847,77.275,May,2013,8,1630,526,1,384,188,189,0,0,0,0,1.24,0.1,0.001
15,W111105077163001,Avinasi,11.1847,77.275,May,2014,8.7,890,275,12,78,77,41,20,43.79,99,3,0.92,0.3,0.01
16,W111105077163001,Avinasi,11.1847,77.275,May,2015,7.9,1759,478,4,313,180,159,57,62.65,190,31.87,1.18,0.4,0.01
