dist,station,value,date
Tiruppur,Udumalpet,7.6,28-01-2007
Tiruppur,Palladam,4.2,28-01-2007
Tiruppur,Avinashi,1,28-01-2007
Tiruppur,Avinashi,2,18-02-2007
Tiruppur,Udumalpet,49,15-04-2007
Tiruppur,District Collector Office,5,15-04-2007
Tiruppur,Palladam,3.2,15-04-2007
Tiruppur,Udumalpet,4,16-04-2007
Tiruppur,Kangeyam,65.4,19-04-2007
Tiruppur,Avinashi,27,19-04-2007
Tiruppur,District Collector Office,6,19-04-2007
Tiruppur,Palladam,5,19-04-2007
Tiruppur,District Collector Office,55,20-04-2007
Tiruppur,Palladam,54.2,20-04-2007
Tiruppur,moolanur,8,20-04-2007
Tiruppur,Dharapuram,3,20-04-2007
Tiruppur,Dharapuram,48,21-04-2007
Tiruppur,moolanur,9,21-04-2007
Tiruppur,Udumalpet,1,21-04-2007
Tiruppur,Kangeyam,25.2,22-04-2007
Tiruppur,moolanur,12,22-04-2007
Tiruppur,Avinashi,6,22-04-2007
Tiruppur,Dharapuram,5,22-04-2007
Tiruppur,District Collector Office,4,22-04-2007
Tiruppur,Udumalpet,1,22-04-2007
Tiruppur,Palladam,66.4,24-04-2007
Tiruppur,Avinashi,13,24-04-2007
Tiruppur,Kangeyam,9,24-04-2007
Tiruppur,Udumalpet,5,24-04-2007
Tiruppur,Dharapuram,18,29-04-2007
Tiruppur,Avinashi,12,03-05-2007
Tiruppur,District Collector Office,10,03-05-2007
Tiruppur,Kangeyam,7.2,03-05-2007
Tiruppur,Palladam,5.6,03-05-2007
Tiruppur,Avinashi,15,04-05-2007
Tiruppur,Kangeyam,24.4,06-05-2007
Tiruppur,Avinashi,8,06-05-2007
Tiruppur,District Collector Office,6.6,06-05-2007
Tiruppur,Palladam,3.4,06-05-2007
Tiruppur,Avinashi,44,10-05-2007
Tiruppur,Avinashi,105,24-05-2007
Tiruppur,District Collector Office,20,24-05-2007
Tiruppur,Palladam,3.4,24-05-2007
Tiruppur,Udumalpet,2,25-05-2007
Tiruppur,Avinashi,19,26-05-2007
Tiruppur,District Collector Office,8,26-05-2007
Tiruppur,Avinashi,6,27-05-2007
Tiruppur,Udumalpet,1.4,27-05-2007
Tiruppur,District Collector Office,10,04-06-2007
Tiruppur,Dharapuram,17,06-06-2007
Tiruppur,Palladam,3.4,06-06-2007
Tiruppur,District Collector Office,3,06-06-2007
Tiruppur,Dharapuram,81,08-06-2007
Tiruppur,Palladam,74.2,08-06-2007
Tiruppur,District Collector Office,15,08-06-2007
Tiruppur,Avinashi,12,08-06-2007
Tiruppur,Udumalpet,1.4,08-06-2007
Tiruppur,Udumalpet,1,20-06-2007
Tiruppur,Udumalpet,2,21-06-2007
Tiruppur,Udumalpet,5,22-06-2007
Tiruppur,Avinashi,13.5,23-06-2007
Tiruppur,Udumalpet,9.4,23-06-2007
Tiruppur,Palladam,7.4,23-06-2007
Tiruppur,District Collector Office,7,23-06-2007
Tiruppur,Udumalpet,5.6,24-06-2007
Tiruppur,Palladam,4.2,24-06-2007
Tiruppur,Dharapuram,4,24-06-2007
Tiruppur,Udumalpet,1,25-06-2007
Tiruppur,Udumalpet,4,28-06-2007
Tiruppur,Udumalpet,5.2,29-06-2007
Tiruppur,Udumalpet,1.8,30-06-2007
Tiruppur,Udumalpet,6.6,01-07-2007
Tiruppur,Palladam,2.4,02-07-2007
Tiruppur,District Collector Office,2,02-07-2007
Tiruppur,Udumalpet,1.8,02-07-2007
Tiruppur,Udumalpet,5.6,03-07-2007
Tiruppur,District Collector Office,2,03-07-2007
Tiruppur,Palladam,2,03-07-2007
Tiruppur,Avinashi,2,03-07-2007
Tiruppur,Udumalpet,3.8,04-07-2007
Tiruppur,Udumalpet,1,05-07-2007
Tiruppur,Udumalpet,1.6,11-07-2007
Tiruppur,Udumalpet,5,17-07-2007
Tiruppur,District Collector Office,4.2,17-07-2007
Tiruppur,Udumalpet,2,20-07-2007
Tiruppur,Avinashi,2,22-07-2007
Tiruppur,Dharapuram,35,25-07-2007
Tiruppur,Palladam,2.4,25-07-2007
Tiruppur,District Collector Office,2,25-07-2007
Tiruppur,Udumalpet,1,25-07-2007
Tiruppur,Avinashi,41,01-08-2007
Tiruppur,Kangeyam,13.2,01-08-2007
Tiruppur,District Collector Office,8,01-08-2007
Tiruppur,Udumalpet,2,03-08-2007
Tiruppur,District Collector Office,2,03-08-2007
Tiruppur,Udumalpet,3,05-08-2007
Tiruppur,Udumalpet,1,06-08-2007
Tiruppur,Udumalpet,1,07-08-2007
Tiruppur,Udumalpet,5,08-08-2007
Tiruppur,Udumalpet,1.4,09-08-2007
Tiruppur,Udumalpet,2,10-08-2007
Tiruppur,District Collector Office,3,21-08-2007
Tiruppur,Avinashi,60,22-08-2007
Tiruppur,Kangeyam,9.8,22-08-2007
Tiruppur,District Collector Office,9,22-08-2007
Tiruppur,Palladam,5.6,22-08-2007
Tiruppur,Avinashi,71,24-08-2007
Tiruppur,Kangeyam,6.2,24-08-2007
Tiruppur,Dharapuram,2,24-08-2007
Tiruppur,District Collector Office,60,25-08-2007
Tiruppur,Kangeyam,29.2,25-08-2007
Tiruppur,Avinashi,22,25-08-2007
Tiruppur,Dharapuram,16.3,25-08-2007
Tiruppur,Palladam,12,25-08-2007
Tiruppur,Udumalpet,5.4,25-08-2007
Tiruppur,Avinashi,8,26-08-2007
Tiruppur,District Collector Office,3,26-08-2007
Tiruppur,Avinashi,2,29-08-2007
Tiruppur,Avinashi,16,30-08-2007
Tiruppur,Kangeyam,30.4,09-09-2007
Tiruppur,Avinashi,15,09-09-2007
Tiruppur,District Collector Office,5,09-09-2007
Tiruppur,Udumalpet,1,09-09-2007
Tiruppur,Kangeyam,57.6,10-09-2007
Tiruppur,Avinashi,36,10-09-2007
Tiruppur,District Collector Office,21.2,10-09-2007
Tiruppur,Udumalpet,19,10-09-2007
Tiruppur,Palladam,4.1,10-09-2007
Tiruppur,Udumalpet,4,11-09-2007
Tiruppur,Kangeyam,39.4,12-09-2007
Tiruppur,Palladam,11.1,12-09-2007
Tiruppur,Udumalpet,1,12-09-2007
Tiruppur,Avinashi,18,15-09-2007
Tiruppur,District Collector Office,4.2,15-09-2007
Tiruppur,Avinashi,3.5,16-09-2007
Tiruppur,Udumalpet,2.4,19-09-2007
Tiruppur,Udumalpet,4.4,24-09-2007
Tiruppur,Avinashi,2,29-09-2007
Tiruppur,Avinashi,1,11-10-2007
Tiruppur,Avinashi,3,12-10-2007
Tiruppur,Udumalpet,1.4,12-10-2007
Tiruppur,Palladam,0.4,12-10-2007
Tiruppur,Udumalpet,3.2,13-10-2007
Tiruppur,Dharapuram,10,14-10-2007
Tiruppur,Kangeyam,6.8,14-10-2007
Tiruppur,Udumalpet,2.6,14-10-2007
Tiruppur,Udumalpet,40,15-10-2007
Tiruppur,District Collector Office,17,16-10-2007
Tiruppur,Avinashi,13,16-10-2007
Tiruppur,Udumalpet,1.4,17-10-2007
Tiruppur,Avinashi,21,18-10-2007
Tiruppur,Udumalpet,1,18-10-2007
Tiruppur,Palladam,74,19-10-2007
Tiruppur,moolanur,11,19-10-2007
Tiruppur,Dharapuram,3,19-10-2007
Tiruppur,Avinashi,71,20-10-2007
Tiruppur,Kangeyam,25.4,20-10-2007
Tiruppur,District Collector Office,22,20-10-2007
Tiruppur,Udumalpet,14,20-10-2007
Tiruppur,Udumalpet,4,21-10-2007
Tiruppur,Dharapuram,48,22-10-2007
Tiruppur,moolanur,34,22-10-2007
Tiruppur,Udumalpet,9,22-10-2007
Tiruppur,Palladam,8.4,22-10-2007
Tiruppur,Avinashi,7,22-10-2007
Tiruppur,District Collector Office,6,22-10-2007
Tiruppur,Udumalpet,61,23-10-2007
Tiruppur,Palladam,53,23-10-2007
Tiruppur,District Collector Office,34,23-10-2007
Tiruppur,Avinashi,30,23-10-2007
Tiruppur,Dharapuram,20,23-10-2007
Tiruppur,Kangeyam,16.8,23-10-2007
Tiruppur,moolanur,11,23-10-2007
Tiruppur,Avinashi,21,24-10-2007
Tiruppur,Palladam,20,24-10-2007
Tiruppur,moolanur,15,24-10-2007
Tiruppur,Kangeyam,14,24-10-2007
Tiruppur,Dharapuram,12,24-10-2007
Tiruppur,District Collector Office,9,24-10-2007
Tiruppur,Udumalpet,8,24-10-2007
Tiruppur,Avinashi,23.05,25-10-2007
Tiruppur,Udumalpet,13,25-10-2007
Tiruppur,District Collector Office,8,25-10-2007
Tiruppur,Dharapuram,7,25-10-2007
Tiruppur,Kangeyam,6.2,25-10-2007
Tiruppur,moolanur,5,25-10-2007
Tiruppur,Palladam,4.01,25-10-2007
Tiruppur,moolanur,4,26-10-2007
Tiruppur,Dharapuram,2,26-10-2007
Tiruppur,Palladam,39,27-10-2007
Tiruppur,District Collector Office,29,27-10-2007
Tiruppur,Avinashi,16.5,27-10-2007
Tiruppur,Kangeyam,9,27-10-2007
Tiruppur,moolanur,7,27-10-2007
Tiruppur,Dharapuram,5,27-10-2007
Tiruppur,Avinashi,37.5,28-10-2007
Tiruppur,Udumalpet,14.4,28-10-2007
Tiruppur,District Collector Office,7,28-10-2007
Tiruppur,Palladam,6,28-10-2007
Tiruppur,moolanur,4,28-10-2007
Tiruppur,Dharapuram,3,28-10-2007
Tiruppur,Palladam,16,29-10-2007
Tiruppur,District Collector Office,9,29-10-2007
Tiruppur,Kangeyam,3,29-10-2007
Tiruppur,Avinashi,2.5,29-10-2007
Tiruppur,Dharapuram,2,29-10-2007
Tiruppur,Udumalpet,1,29-10-2007
Tiruppur,District Collector Office,11,30-10-2007
Tiruppur,Palladam,10.8,30-10-2007
Tiruppur,Avinashi,5,30-10-2007
Tiruppur,Udumalpet,4.8,30-10-2007
Tiruppur,Kangeyam,3.6,30-10-2007
Tiruppur,Avinashi,3,31-10-2007
Tiruppur,moolanur,60,02-11-2007
Tiruppur,District Collector Office,40,02-11-2007
Tiruppur,Palladam,31.8,02-11-2007
Tiruppur,Dharapuram,27,02-11-2007
Tiruppur,Avinashi,19,02-11-2007
Tiruppur,Kangeyam,13.8,02-11-2007
Tiruppur,Udumalpet,12,02-11-2007
Tiruppur,moolanur,25,03-11-2007
Tiruppur,Dharapuram,21,03-11-2007
Tiruppur,Udumalpet,8,03-11-2007
Tiruppur,Palladam,7,03-11-2007
Tiruppur,District Collector Office,2,03-11-2007
Tiruppur,Avinashi,30,04-11-2007
Tiruppur,District Collector Office,28,04-11-2007
Tiruppur,Dharapuram,7,04-11-2007
Tiruppur,Kangeyam,6.6,04-11-2007
Tiruppur,Palladam,5.6,04-11-2007
Tiruppur,Udumalpet,5,04-11-2007
Tiruppur,moolanur,6,05-11-2007
Tiruppur,Dharapuram,6,05-11-2007
Tiruppur,Avinashi,3.5,05-11-2007
Tiruppur,Udumalpet,1.2,05-11-2007
Tiruppur,Palladam,1.1,05-11-2007
Tiruppur,Dharapuram,9,06-11-2007
Tiruppur,Dharapuram,4,07-11-2007
Tiruppur,District Collector Office,4,07-11-2007
Tiruppur,moolanur,3,07-11-2007
Tiruppur,Udumalpet,1.8,07-11-2007
Tiruppur,Palladam,1,07-11-2007
Tiruppur,Avinashi,5,08-11-2007
Tiruppur,District Collector Office,7,20-11-2007
Tiruppur,Dharapuram,42,21-11-2007
Tiruppur,moolanur,36,21-11-2007
Tiruppur,Udumalpet,5.8,21-11-2007
Tiruppur,Kangeyam,4.8,21-11-2007
Tiruppur,Avinashi,3,04-12-2007
Tiruppur,Palladam,1.2,06-12-2007
Tiruppur,Dharapuram,3,07-12-2007
Tiruppur,Udumalpet,3,07-12-2007
