well_no,date,year,month,season,is_monsoon,water_level_mean,water_level_min,water_level_max,water_level_std,water_level_lag1,water_level_lag2,water_level_lag3,water_level_rolling_3m,water_level_rolling_6m,water_level_change,rainfall_total,rainfall_mean,rainfall_max,rainy_days,rainfall_lag1,rainfall_rolling_3m,quality_TDS (mg/L),quality_NO2+NO3 (mg/L),quality_Ca (mg/L),quality_Mg (mg/L),quality_Na (mg/L),quality_K (mg/L),quality_Cl (mg/L),quality_SO4 (mg/L),quality_CO3 (mg/L),quality_HCO3 (mg/L),quality_F (mg/L),quality_pH_GEN,quality_EC_GEN (µS/cm),quality_HAR_Total (mg/L),quality_SAR,quality_Na%,year_month,measurement_count,well_type,year_qual,month_qual,year_rain,month_rain
53258,2017-01-01,2017,1,Winter,0,24.5,24.5,24.5,1.2727922061357873,24.5,24.5,24.5,24.5,24.5,1.5,46.5,6.642857142857143,13.0,7.0,46.5,46.5,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-01,1,OB,2019.0,1.0,2017.0,1.0
53258,2017-02-01,2017,2,Winter,0,26.0,26.0,26.0,1.2727922061357873,24.5,24.5,24.5,25.25,25.25,1.5,46.5,6.642857142857143,13.0,7.0,46.5,46.5,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-02,1,OB,2019.0,1.0,2017.0,1.0
53258,2017-03-01,2017,3,Spring,0,25.4,25.4,25.4,1.2727922061357873,26.0,24.5,24.5,25.3,25.3,-0.6000000000000014,164.4,10.96,47.0,15.0,46.5,105.45,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-03,1,OB,2019.0,1.0,2017.0,3.0
53258,2017-04-01,2017,4,Spring,0,25.5,25.5,25.5,1.2727922061357873,25.4,26.0,24.5,25.633333333333336,25.35,0.10000000000000142,234.2,10.645454545454545,26.0,22.0,164.4,199.3,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-04,1,OB,2019.0,1.0,2017.0,4.0
53258,2017-06-01,2017,6,Summer,1,23.9,23.9,23.9,1.2727922061357873,25.5,25.4,26.0,24.933333333333334,25.06,-1.6000000000000014,105.6,11.733333333333333,35.0,9.0,234.2,168.06666666666666,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-06,1,OB,2019.0,1.0,2017.0,6.0
53258,2017-07-01,2017,7,Summer,1,24.8,24.8,24.8,1.2727922061357873,23.9,25.5,25.4,24.733333333333334,25.016666666666666,0.9000000000000021,56.6,8.085714285714285,30.0,7.0,105.6,132.13333333333333,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-07,1,OB,2019.0,1.0,2017.0,7.0
53258,2017-08-01,2017,8,Summer,1,24.6,24.6,24.6,1.2727922061357873,24.8,23.9,25.5,24.433333333333334,25.03333333333333,-0.1999999999999993,514.1,11.17608695652174,80.0,46.0,56.6,225.43333333333337,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-08,1,OB,2019.0,1.0,2017.0,8.0
53258,2017-09-01,2017,9,Fall,1,24.85,24.85,24.85,1.2727922061357873,24.6,24.8,23.9,24.75,24.84166666666667,0.25,1495.9,27.19818181818182,118.0,55.0,514.1,688.8666666666668,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-09,1,OB,2019.0,1.0,2017.0,9.0
53258,2017-10-01,2017,10,Fall,0,22.1,22.1,22.1,1.2727922061357873,24.85,24.6,24.8,23.850000000000005,24.291666666666668,-2.75,836.2,16.39607843137255,70.0,51.0,1495.9,948.7333333333335,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-10,1,OB,2019.0,1.0,2017.0,10.0
53258,2017-11-01,2017,11,Fall,0,18.5,18.5,18.5,1.2727922061357873,22.1,24.85,24.6,21.816666666666666,23.125,-3.6000000000000014,521.2,9.143859649122808,68.0,57.0,836.2,951.1,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-11,1,OB,2019.0,1.0,2017.0,11.0
