Village,Year,Latitude,Longtitude,pH,EC,NO3,As,F
Avinasi,2025,11.1847,77.275,7.943086950285656,1507.8585878983854,208.4382248943295,0.009881411100439318,2.0266153874840374
Avinasi,2026,11.1847,77.275,7.945918510478662,1526.6974372441914,196.86681592754644,0.009807328743400644,1.9894622734477967
Avinasi,2027,11.1847,77.275,7.9388451646278435,1573.3234995530188,201.57816081682915,0.0097099086452354,2.0248408952882233
Avinasi,2028,11.1847,77.275,7.909237036294035,1513.8527792092189,200.07304534593223,0.009723376455882324,2.0423743959995067
Avinasi,2029,11.1847,77.275,7.90851295495019,1487.3092324212616,198.36633871519751,0.009737436243396106,2.034189785767447
Avinasi,2030,11.1847,77.275,7.921225428359119,1473.0288974913344,196.47258375552676,0.009773339408128289,2.021976377451502
Avinasi,2031,11.1847,77.275,7.958509237224899,1457.337784772671,198.2604522019735,0.009798441607100031,1.9941117126388492
Avinasi,2032,11.1847,77.275,7.991504944423878,1571.428217648799,191.79005630139244,0.009891504976077313,2.04997937174399
Avinasi,2033,11.1847,77.275,8.008110690029076,1627.5075838204161,190.3183164526697,0.009897014820164382,2.069826856979174
Avinasi,2034,11.1847,77.275,8.009539377819474,1630.6200034643002,190.27069887033377,0.009893806604319074,2.0647620789829184
Avinasi,2035,11.1847,77.275,8.010763935338037,1632.6274652540603,189.8888865629927,0.009889670777205484,2.056338163250329
Avinasi,2036,11.1847,77.275,8.014701126020487,1641.7998164527685,189.01471550308074,0.009888092074023629,2.0525431640215688
Avinasi,2037,11.1847,77.275,8.018494613179296,1647.435993338217,188.06516653386012,0.00988794776822752,2.050818997991193
Avinasi,2038,11.1847,77.275,8.022380787719314,1654.4894244937173,187.1162290675707,0.00989196975018841,2.052885936378962
Avinasi,2039,11.1847,77.275,8.024651507705654,1660.7775030721646,186.5484436882861,0.009899766746393408,2.0585024525995266
Avinasi,2040,11.1847,77.275,8.02434864169681,1663.668617355043,186.5901115021331,0.009908821380408231,2.065474177555329
Avinasi,2041,11.1847,77.275,8.021279399526513,1664.4699898120887,187.0653045199384,0.009917368227812378,2.071889119508937
Avinasi,2042,11.1847,77.275,8.016694102467538,1659.5400142249825,187.82876046097246,0.00992153660416302,2.073225885265214
Avinasi,2043,11.1847,77.275,8.01296954900658,1654.6506515673711,188.44627585779318,0.009921524044226703,2.0695382811879286
Avinasi,2044,11.1847,77.275,8.01213292226768,1654.424157289992,188.56513415329138,0.00991880665203856,2.062681190580557
Avinasi,2045,11.1847,77.275,8.014826766640272,1660.0552846552373,188.0741870524385,0.009915069542347695,2.055270706640679
Avinasi,2046,11.1847,77.275,8.020132809655722,1669.8442900213518,187.11662007679112,0.009912186958460837,2.0498733085949263
Avinasi,2047,11.1847,77.275,8.02626320298671,1681.039318211545,186.00611493998258,0.009911965737231757,2.0484539055509208
Avinasi,2048,11.1847,77.275,8.031029353934194,1690.0170828084954,185.12279454870773,0.009915047503600678,2.0514084550870098
Avinasi,2049,11.1847,77.275,8.032773809840405,1694.0440884317077,184.7544964603589,0.009920784292315264,2.0574639334915448
Avinasi,2050,11.1847,77.275,8.031009316801516,1692.375141091816,184.98895151406006,0.009927546586899295,2.064164818344911
Dharapuram,2025,10.7639,77.5944,8.20898083648395,3683.806149085186,197.1054396536846,0.0009588419050772877,0.40498445515131865
Dharapuram,2026,10.7639,77.5944,8.187482492138278,3590.8972795055433,208.83341631870016,0.0008538583726938302,0.3713010413388296
Dharapuram,2027,10.7639,77.5944,8.166432875070488,3628.4144841243183,208.3416341579997,0.0009077355267075503,0.3505654848739792
Dharapuram,2028,10.7639,77.5944,8.176194713944371,3657.34463268537,207.7776084634117,0.0009117025002952735,0.3308415040831698
Dharapuram,2029,10.7639,77.5944,8.171167647389087,3613.9245951840485,205.9151301746961,0.0008787187284496272,0.34990093613511775
Dharapuram,2030,10.7639,77.5944,8.150239174186712,3660.4964100677566,200.56616002086304,0.000922534247214639,0.3903121915321719
Dharapuram,2031,10.7639,77.5944,8.14081415463178,3733.807104426941,192.74594636907483,0.0009743322780625766,0.43157048160490347
Dharapuram,2032,10.7639,77.5944,8.17128624380702,3824.595361206839,181.93684282906486,0.0009289390392798072,0.4724372372453665
Dharapuram,2033,10.7639,77.5944,8.21034056108927,3872.5901457703276,171.2014760331865,0.0008857947247480995,0.5269178351795889
Dharapuram,2034,10.7639,77.5944,8.209010439886134,3867.8925127082084,171.5408347456771,0.0008821934022031426,0.5175565323029236
Dharapuram,2035,10.7639,77.5944,8.207927722798889,3863.4541475385427,171.5406041504736,0.0008785628711422761,0.5082784152479031
Dharapuram,2036,10.7639,77.5944,8.211079263560872,3868.538219727026,170.6557165690857,0.0008761784636776867,0.5008682576798849
Dharapuram,2037,10.7639,77.5944,8.216713962364132,3879.342304163388,169.47749713320866,0.0008749226315912095,0.49876884204462685
Dharapuram,2038,10.7639,77.5944,8.220673742806444,3891.628252629811,168.39616173537843,0.0008778317457804916,0.5026756452427532
Dharapuram,2039,10.7639,77.5944,8.22248326444725,3905.0308835356673,167.55852983174776,0.0008869548230519126,0.5110008604973211
Dharapuram,2040,10.7639,77.5944,8.22204826609483,3912.9369180580316,167.33707877742603,0.0008961719859779248,0.5195943866297736
Dharapuram,2041,10.7639,77.5944,8.219970459753169,3914.308400317913,167.67874100535357,0.0009026265324068621,0.5254544204594762
Dharapuram,2042,10.7639,77.5944,8.216170174045853,3909.968774978353,168.32754799172932,0.0009060871242460365,0.5270012487502329
Dharapuram,2043,10.7639,77.5944,8.212284196790897,3904.4407255274614,168.9717759310101,0.00090593980443038,0.5230896588949188
Dharapuram,2044,10.7639,77.5944,8.211306398853894,3903.7344607498867,169.1103981014342,0.0009031912097238486,0.5161101557162701
Dharapuram,2045,10.7639,77.5944,8.21398348202314,3909.3789551496247,168.6174839038349,0.0008994351628626628,0.5085837081882628
Dharapuram,2046,10.7639,77.5944,8.21941777069597,3919.82004250895,167.6382194740038,0.0008966281517091815,0.5032912125741176
Dharapuram,2047,10.7639,77.5944,8.225605509086286,3931.607630862191,166.50848671455412,0.0008965358527055894,0.5020664219616742
Dharapuram,2048,10.7639,77.5944,8.230366111690246,3940.9424849302986,165.60856234498357,0.000899863349730815,0.5051933452334713
Dharapuram,2049,10.7639,77.5944,8.232046265052368,3944.9578829261554,165.22079251066765,0.0009058092816306433,0.5113438385124619
Dharapuram,2050,10.7639,77.5944,8.230288434719224,3943.32308727354,165.4482569209021,0.0009125904280855076,0.5180600346986199
Gudimangalam,2025,10.7583,77.2708,7.290875897397741,1689.8546444267336,347.9172714882567,0.0009893404664247018,0.9650595150961421
