Sl.No,Agency,Type,Block,Well No,Village,Latitude,Longitude
1,CGWB,Manual,Avinashi,W111105077163001,Avinashi,11.1847,77.275
2,CGWB,Manual,Avinashi,W111200077110002,Arasampalayam,11.2,77.18333
3,CGWB,Manual,Avinashi,W111210077103001,Uppilipalayam,11.2028,77.175
4,CGWB,Manual,Avinashi,W111228077113001,Karavalur,11.20778,77.19167
5,CGWB,Manual,Avinashi,W111300077093002,Nariyampalli,11.21667,77.15833
6,CGWB,Manual,Avinashi,W111445077124501,Vettuvampalayam,11.2458,77.2125
7,CGWB,Manual,Avinashi,W111722077100901,Alathur,11.2894,77.1692
8,CGWB,Manual,Avinashi,W111745077075501,Pongalur,11.2958,77.1319
9,CGWB,Manual,Avinashi,W111800077112201,Alathur,11.3,77.1894
10,CGWB,Manual,Avinashi,W111824077164401,Thathanur,11.3067,77.2789
11,CGWB,Manual,Dharapuram,W103924077280401,Chelampalayam,10.6567,77.4678
12,CGWB,Manual,Dharapuram,W103924077295901,Alankiyam,10.6567,77.4997
13,CGWB,Manual,Dharapuram,W103933077295901,Alangayam,10.65927,77.4999
14,CGWB,Manual,Dharapuram,W104153077232601,Ponnapuram,10.6981,77.3906
15,CGWB,Manual,Dharapuram,W104248077252101,Govinthapuram,10.7133,77.4225
16,CGWB,Manual,Dharapuram,W104400077320001,Tharapuram South,10.7333,77.5333
17,CGWB,Manual,Dharapuram,W104420077314501,Dharapuram South,10.73889,77.52917
18,CGWB,Manual,Dharapuram,W104420077314502,Tharapuram South,10.7389,77.5292
19,CGWB,Manual,Dharapuram,W104550077345901,Kolathupalayam,10.7639,77.5831
20,CGWB,Manual,Dharapuram,W104550077350301,Kolathupalayam,10.7639,77.5842
21,CGWB,Manual,Gudimangalam,W104041077125301,Somavarapatty,10.6781,77.2147
22,CGWB,Manual,Gudimangalam,W104045077163001,Kottamangalam,10.67917,77.275
23,CGWB,Manual,Gudimangalam,W104047077161901,Kottamangalam,10.6797,77.2719
24,CGWB,Manual,Gudimangalam,W104530077161501,Periyapatti,10.7583,77.2708
25,CGWB,Manual,Kangeyam,W105608077322501,Pudupalayam,10.93556,77.54028
26,CGWB,Manual,Kangeyam,W105930077333001,Kangeyam,10.9917,77.5583
27,CGWB,Manual,Kangeyam,W110010077334501,Kangeyam,11.0028,77.5625
28,CGWB,Manual,Kangeyam,W110151077320501,Sivanmalai,11.0308,77.5347
29,CGWB,Manual,Kangeyam,W110350077293201,Padiyur,11.0639,77.4922
30,CGWB,Manual,Kangeyam,W110350077293202,Padiyur,11.0639,77.4922
31,CGWB,Manual,Kangeyam,W110402077420801,Kuttapalayam,11.0672,77.7022
32,CGWB,Manual,Kundadam,W104816077332501,Shangarandampalayam,10.8044,77.5569
33,CGWB,Manual,Kundadam,W104950077351101,Shangarandampalayam,10.8306,77.5864
34,CGWB,Manual,Kundadam,W105330077314501,Uthiyur,10.8917,77.5292
35,CGWB,Manual,Madathukulam,W102900077220001,Kozhumam,10.4833,77.3667
36,CGWB,Manual,Madathukulam,W102930077210001,Komaralingam -W,10.4917,77.35
37,CGWB,Manual,Madathukulam,W103630077230001,Kaniyur,10.6083,77.3833
38,CGWB,Manual,Madathukulam,W103725077223001,Thungavi 1-2,10.6236,77.375
39,CGWB,Manual,Mulanur,W104204077442201,Kilangundal,10.7011,77.7394
40,CGWB,Manual,Mulanur,W104730077423001,Moolanur,10.7917,77.7083
41,CGWB,Manual,Mulanur,W104750077432001,Moolanur,10.7972,77.7222
42,CGWB,Manual,Mulanur,W105022077431801,Thattaravalasu,10.8394,77.7217
